what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1265806087173
started,bundle,org.eclipse.osgi,3.5.1.R35x_v20090827,"org.eclipse.osgi",1265806087173
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1265806087173
started,bundle,com.aptana.ide.core,1.5.0.26112,"com.aptana.ide.core",1265806087173
started,bundle,com.aptana.ide.core.ui,1.5.0.26247,"com.aptana.ide.core.ui",1265806087173
started,bundle,com.aptana.ide.debug.core,1.5.0.25240,"com.aptana.ide.debug.core",1265806087173
started,bundle,com.aptana.ide.debug.ui,1.5.0.24896,"com.aptana.ide.debug.ui",1265806087173
started,bundle,com.aptana.ide.desktop.integration.protocolhandler,1.5.0.25611,"com.aptana.ide.desktop.integration.protocolhandler",1265806087173
started,bundle,com.aptana.ide.desktop.integration.server,1.5.0.25497,"com.aptana.ide.desktop.integration.server",1265806087173
started,bundle,com.aptana.ide.documentation,1.5.0.25411,"com.aptana.ide.documentation",1265806087173
started,bundle,com.aptana.ide.editor.xml,1.5.0.25354,"com.aptana.ide.editor.xml",1265806087173
started,bundle,com.aptana.ide.editors,1.5.0.25476,"com.aptana.ide.editors",1265806087173
started,bundle,com.aptana.ide.epl,1.5.0.25269,"com.aptana.ide.epl",1265806087188
started,bundle,com.aptana.ide.installer,1.5.0.25382,"com.aptana.ide.installer",1265806087188
started,bundle,com.aptana.ide.intro,1.5.0.26261,"com.aptana.ide.intro",1265806087188
started,bundle,com.aptana.ide.io.file,1.5.0.25645,"com.aptana.ide.io.file",1265806087188
started,bundle,com.aptana.ide.messagecenter,1.5.0.26125,"com.aptana.ide.messagecenter",1265806087188
started,bundle,com.aptana.ide.messagecenter.ui,1.5.0.26125,"com.aptana.ide.messagecenter.ui",1265806087188
started,bundle,com.aptana.ide.professional.licensing,1.5.0.25826,"com.aptana.ide.professional.licensing",1265806087188
started,bundle,com.aptana.ide.samples,1.5.0.24896,"com.aptana.ide.samples",1265806087188
started,bundle,com.aptana.ide.samples.ui,1.5.0.26125,"com.aptana.ide.samples.ui",1265806087188
started,bundle,com.aptana.ide.scripting,1.5.0.24993,"com.aptana.ide.scripting",1265806087188
started,bundle,com.aptana.ide.server,1.5.0.25398,"com.aptana.ide.server",1265806087188
started,bundle,com.aptana.ide.server.cloud,1.5.1.25890,"com.aptana.ide.server.cloud",1265806087188
started,bundle,com.aptana.ide.server.jetty,1.5.0.25656,"com.aptana.ide.server.jetty",1265806087188
